system:index,flooded_area_km2,month,year,.geo
0,,7.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,8.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3998.61678791002,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,7853.103201259279,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7270.012220646755,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7143.181444225443,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6774.206309355907,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6361.256827131062,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6984.980239868521,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6859.094738512993,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6794.5247784785715,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7845.054065011286,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7803.663408939192,8.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6725.832587037403,9.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,7.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6868.478889457861,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6938.112824647085,9.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,8.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,9.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6568.796609745861,7.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8555.15888659442,8.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,9.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,7.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,8.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,9.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,6984.873489858206,7.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,6928.376270170102,8.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,4974.971943894849,9.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,8015.956378443607,7.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,7759.097557824226,8.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,7418.2224467519245,9.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,7717.462434188594,7.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,7337.302239252072,8.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,6956.088360047796,9.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,6915.03674509168,7.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,6748.495230769815,8.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,6330.499225326553,9.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,7851.118580318926,7.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,7328.349808278499,8.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,6843.6792883301105,9.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,6116.420071302639,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,6525.206732751239,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,6264.657355394054,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,3515.898075084599,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,3375.3699236398247,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,3234.4724008164862,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,6375.235350355815,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,6251.954973790188,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,4350.89937057142,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5260.284755933574,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,4934.12877617099,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5278.498547883252,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5220.70236974503,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5139.754157049138,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,4843.965962535857,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,4242.631345070566,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,4222.195841464123,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,4182.413517849021,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,4335.9653751184605,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,4449.705677347466,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,4220.5832567416255,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
